setting,duration,pooling,pooling_display,tag,ap,pr_auc,roc_auc,support_pos_eval,train_count,setting_display
dur_8.0_attention,8.0,attention,heuristic_attention,country,0.5228137854311917,0.5028135275293819,0.9570409982174688,34,421,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,country,0.5227313913177682,0.5038076138576483,0.957516339869281,34,421,8.0s_max
dur_8.0_mean,8.0,mean,mean,country,0.5165528766107488,0.4959495605354331,0.9562091503267973,34,421,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,dance,0.6466810387056978,0.6368099384470486,0.9647622749060759,31,521,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,dance,0.6003634374066144,0.5912580510012868,0.9367793755667833,31,521,0.5s_max
dur_0.5_mean,0.5,mean,mean,dance,0.6350874547279035,0.6242644807449211,0.9632724446171784,31,521,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,dance,0.6825938304341062,0.6697024850127766,0.9735717061795569,31,521,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,dance,0.6953288693398848,0.6809201801527573,0.9753854126182148,31,521,1.0s_max
dur_1.0_mean,1.0,mean,mean,dance,0.6737316440094115,0.6611482859253752,0.9723409768104676,31,521,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,dance,0.6933265807559401,0.6840161723255315,0.9740251327892214,31,521,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,dance,0.6818328982640107,0.6686065813792359,0.9757740639979272,31,521,2.0s_max
dur_2.0_mean,2.0,mean,mean,dance,0.6872955724594252,0.6794443673528003,0.9733773804897008,31,521,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,dance,0.692424063535688,0.6837217082077323,0.9738308070993651,31,521,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,dance,0.6879115497667068,0.6751069782757866,0.9770695685969686,31,521,4.0s_max
dur_4.0_mean,4.0,mean,mean,dance,0.6892696309223024,0.6771238090385372,0.9733773804897008,31,521,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,dance,0.6905731553381999,0.6821976592903221,0.9733773804897008,31,521,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,dance,0.6972422315324076,0.6848127526934757,0.9754501878481668,31,521,8.0s_max
