tag,support_pos_eval,ap_clean,pr_auc_clean,roc_auc_clean,ap_noise_snr20,pr_auc_noise_snr20,roc_auc_noise_snr20,ap_time_stretch_1p1,pr_auc_time_stretch_1p1,roc_auc_time_stretch_1p1,ap_compression_gamma0p6,pr_auc_compression_gamma0p6,roc_auc_compression_gamma0p6,drop_noise_ap,drop_stretch_ap,drop_compression_ap,mean_ap_drop
opera,47,0.9130633463953051,0.909279729609536,0.987419440275448,0.8214435155651053,0.8149403015552912,0.9699832259203672,0.917923382992491,0.914021396573591,0.9862275977752273,0.8800771349421611,0.8755074518636586,0.9772225655513375,0.09161983083019976,-0.004860036597185924,0.032986211453143954,0.03991533522871926
vocal,109,0.5882477300187287,0.5846790058117834,0.8782000873743993,0.5321851050706231,0.5289042774336943,0.8426387068588904,0.5813352706621012,0.577255043997437,0.8736566186107472,0.5342439791483443,0.530455865636878,0.8434906072520751,0.056062624948105544,0.006912459356627432,0.05400375087038434,0.03899294505837244
choral,23,0.8186697546330481,0.8003805213497879,0.9906341295755284,0.8386646792591571,0.8316523461833703,0.9844474995703729,0.7592262898532263,0.7321294288328438,0.9877126654064272,0.7596681301226829,0.749003413491687,0.9798934524832446,-0.019994924626108967,0.059443464779821875,0.05900162451036528,0.03281672155469273
fast,114,0.6259748898074146,0.6233990711903115,0.842020714436694,0.6011098152559076,0.5980251331260835,0.8327837666455297,0.6113229973013979,0.6083208212436005,0.832974001268231,0.5705762794092303,0.5670738447014385,0.8242443458042696,0.024865074551506994,0.014651892506016617,0.05539861039818428,0.031638525818569296
classic,46,0.4436390305640277,0.4276924955520889,0.9050769646232785,0.39564528367608887,0.37738496973686475,0.8895490143127195,0.4363829313860756,0.4208597798068766,0.9047619047619048,0.40615313102117157,0.3923752510138663,0.8901791340354668,0.04799374688793884,0.007256099177952113,0.03748589954285614,0.030911915202915696
pop,77,0.606115297816713,0.598396264514025,0.901620503390415,0.5936818993273698,0.5878461622136845,0.8937478450752787,0.6047019586077222,0.5987686726461914,0.9024537409493163,0.5321163412991564,0.5232454112831,0.8838926560165499,0.012433398489343217,0.0014133392089907826,0.07399895651755661,0.029281898071963536
loud,69,0.7253031204605653,0.7218085609059842,0.9427536231884058,0.7340214960692283,0.731041689284868,0.9419029615626969,0.7135771586548765,0.7096724332942735,0.9401386263390045,0.6462600751162846,0.6419627068241188,0.9243226212980467,-0.008718375608662954,0.011725961805688856,0.07904304534428075,0.027350210513768885
no voice,42,0.1373564761086876,0.12694266578670355,0.6716534663146574,0.10500872564347631,0.10022164023941123,0.6210521169453408,0.1252551724817325,0.11563889461122565,0.6486750757797985,0.11131961939325632,0.10153249594920441,0.6195365209738927,0.03234775046521128,0.012101303626955079,0.026036856715431267,0.023495303602532543
solo,52,0.3228633974892674,0.311011980151815,0.8234558942106113,0.27477571864707506,0.2615573604617516,0.7916868247056926,0.3298207457161921,0.31284438726153635,0.8230930495081438,0.29404519491142456,0.2819814229185993,0.8069666182873729,0.04808767884219234,-0.006957348226924676,0.028818202577842844,0.023316177731036836
no vocals,92,0.32498195377919675,0.3187903085277396,0.7422147050044772,0.31994022834455543,0.3122946313267002,0.7033877226146651,0.32548898845509666,0.31622092948773123,0.735896925679037,0.2661709735738899,0.25658735820414114,0.6484926872947965,0.00504172543464132,-0.0005070346758999089,0.05881098020530684,0.02111522365468275
rock,103,0.9146462423205812,0.9138340356104774,0.9717398240576143,0.904943503664818,0.9036908531394318,0.9652445416837595,0.9076934328237879,0.9069046205734853,0.9686403208897397,0.8691325529577578,0.8673968183137161,0.9540772140936232,0.00970273865576321,0.006952809496793333,0.045513689362823406,0.020723079171793318
no vocal,75,0.2334143214735753,0.22493882047725758,0.7056093979441997,0.21254976234783743,0.20745973175073912,0.6740381791483113,0.2257838772862828,0.21908934000010452,0.6959471365638766,0.2043529836238444,0.19770205741679103,0.6290455212922174,0.02086455912573787,0.007630444187292501,0.02906133784973089,0.019185447054253752
country,34,0.5235221095669594,0.5042260646186079,0.9578728461081403,0.48336844807949714,0.47203555386988877,0.9363636363636364,0.5231372207741866,0.5074975295008101,0.9551396316102199,0.5127719473833968,0.49280936683773185,0.9489601901366607,0.0401536614874623,0.000384888792772875,0.010750162183562617,0.017096237487932597
drums,129,0.6771533357250027,0.6739323532336492,0.8896124031007752,0.6640650927131798,0.6614373207622375,0.8796899224806202,0.6706355481207908,0.6681396622227334,0.8855813953488372,0.6475728096283833,0.644781795829866,0.8662790697674418,0.013088243011822875,0.006517787604211844,0.02958052609661943,0.01639551890421805
voice,50,0.24903815310803676,0.23438601464708309,0.7915657620041754,0.22866492876389308,0.21832246117019433,0.7919832985386221,0.23578931098837158,0.22160234561325773,0.7783716075156576,0.2338672686720802,0.22069382265535772,0.7760334029227557,0.02037322434414368,0.013248842119665177,0.015170884435956572,0.016264316966588477
choir,34,0.8579516465561392,0.852798737715789,0.9680332739156268,0.850139408169647,0.845069863052221,0.9554367201426025,0.8527031000860171,0.8536153704136419,0.9619726678550208,0.8227642838265771,0.8200962606599552,0.9468805704099822,0.007812238386492254,0.005248546470122073,0.03518736272956213,0.01608271586205882
